v_init,throttle,steer,pitch,roll,a_measured,omega_z_measured
-4.0000,-1.0000,1.0000,35.0000,30.0000,4.913572,-0.495120
-4.0000,-0.5000,-1.0000,-35.0000,-30.0000,2.140356,0.561024
-4.0000,-0.5000,-1.0000,-35.0000,-20.0000,1.008513,0.547599
-4.0000,-0.5000,-1.0000,-35.0000,-10.0000,-0.561055,0.475773
-4.0000,-0.5000,-1.0000,-35.0000,0.0000,-1.761149,0.383982
-4.0000,-0.5000,-1.0000,-35.0000,10.0000,-2.376624,0.323319
-4.0000,-0.5000,-1.0000,-35.0000,20.0000,-2.832993,0.312413
-4.0000,-0.5000,-1.0000,-35.0000,30.0000,-3.431414,0.340075
-4.0000,-0.5000,-1.0000,-30.0000,-30.0000,2.878884,0.603352
-4.0000,-0.5000,-1.0000,-30.0000,-20.0000,1.575398,0.572964
